,tract,COMM,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
601,06037201601,El Sereno,47465.0,759.0,2183.0,1663.0,520.0,495.0,160.0,28.0,8.0,293.0
859,06037229410,South Park,47406.0,866.0,3471.0,2988.0,483.0,469.0,52.0,379.0,3.0,19.0
865,06037231301,Exposition Park,47310.0,827.0,2797.0,2008.0,789.0,695.0,63.0,555.0,9.0,33.0
628,06037205110,Boyle Heights,47194.0,833.0,3850.0,3704.0,146.0,133.0,46.0,26.0,6.0,35.0
211,06037123420,Valley Glen,47183.0,1649.0,4481.0,2407.0,2074.0,1988.0,1563.0,102.0,0.0,299.0
210,06037123420,North Hollywood,47183.0,1649.0,4481.0,2407.0,2074.0,1988.0,1563.0,102.0,0.0,299.0
509,06037190510,Hollywood,47180.0,1591.0,4362.0,1467.0,2895.0,2701.0,1531.0,358.0,3.0,771.0
265,06037127605,Lake Balboa,47099.0,1201.0,3314.0,2468.0,846.0,791.0,468.0,143.0,8.0,137.0
1147,06037294410,Harbor City,47027.0,1620.0,5310.0,2250.0,3060.0,2851.0,771.0,1126.0,4.0,870.0
624,06037204810,Boyle Heights,46964.0,1301.0,5166.0,4902.0,264.0,236.0,101.0,56.0,5.0,60.0
313,06037132301,Reseda,46808.0,1411.0,3577.0,1867.0,1710.0,1579.0,893.0,139.0,2.0,520.0
870,06037231602,West Vernon,46683.0,598.0,2148.0,1544.0,604.0,556.0,60.0,449.0,4.0,35.0
809,06037221601,West Adams,46645.0,969.0,3175.0,2455.0,720.0,650.0,197.0,271.0,2.0,157.0
793,06037219800,Alsace,46625.0,978.0,2931.0,2061.0,870.0,797.0,206.0,481.0,8.0,82.0
832,06037224600,University Park,46607.0,790.0,3501.0,2778.0,723.0,675.0,200.0,360.0,11.0,91.0
525,06037191410,East Hollywood,46373.0,1460.0,3924.0,2582.0,1342.0,1250.0,587.0,120.0,7.0,511.0
3,06037101221,Tujunga,46274.0,1513.0,3444.0,1178.0,2266.0,2175.0,1840.0,73.0,3.0,246.0
1148,06037294421,Harbor City,46168.0,1022.0,2794.0,1747.0,1047.0,984.0,249.0,249.0,0.0,454.0
900,06037234700,Hyde Park,46125.0,1357.0,4209.0,1870.0,2339.0,2198.0,123.0,1920.0,24.0,76.0
268,06037127712,Van Nuys,46026.0,1571.0,3894.0,2263.0,1631.0,1501.0,934.0,270.0,3.0,261.0
27,06037104203,Pacoima,45972.0,1155.0,4874.0,4381.0,493.0,458.0,132.0,209.0,1.0,102.0
785,06037218800,West Adams,45880.0,972.0,2633.0,1639.0,994.0,921.0,130.0,493.0,4.0,289.0
845,06037228220,Vernon Central,45875.0,955.0,4458.0,3954.0,504.0,469.0,37.0,408.0,8.0,6.0
860,06037229420,Vernon Central,45856.0,1043.0,4681.0,4101.0,580.0,539.0,42.0,468.0,2.0,14.0
874,06037231720,West Vernon,45833.0,1454.0,5060.0,3880.0,1180.0,1088.0,128.0,757.0,2.0,183.0
873,06037231720,South Park,45833.0,1454.0,5060.0,3880.0,1180.0,1088.0,128.0,757.0,2.0,183.0
469,06037186401,Glassell Park,45833.0,926.0,2991.0,2199.0,792.0,753.0,259.0,52.0,5.0,431.0
508,06037190402,Thai Town,45758.0,1222.0,2388.0,508.0,1880.0,1796.0,1343.0,89.0,4.0,339.0
898,06037234502,Leimert Park,45726.0,1188.0,2912.0,1139.0,1773.0,1653.0,124.0,1411.0,9.0,92.0
223,06037124103,North Hollywood,45598.0,573.0,1857.0,1237.0,620.0,595.0,442.0,48.0,8.0,83.0
954,06037240200,Vermont Vista,45579.0,1453.0,5910.0,4392.0,1518.0,1421.0,55.0,1307.0,3.0,18.0
724,06037212420,Koreatown,45465.0,1168.0,2875.0,1469.0,1406.0,1319.0,250.0,137.0,4.0,918.0
728,06037212620,Koreatown,45464.0,1781.0,4111.0,1625.0,2486.0,2404.0,339.0,219.0,9.0,1816.0
273,06037127910,Van Nuys,45455.0,1504.0,5209.0,3529.0,1680.0,1590.0,1105.0,156.0,3.0,304.0
146,06037117510,North Hills,45332.0,993.0,4181.0,3451.0,730.0,701.0,254.0,91.0,3.0,320.0
794,06037219901,Alsace,45318.0,1515.0,4651.0,3506.0,1145.0,1036.0,311.0,597.0,3.0,78.0
269,06037127803,Van Nuys,45278.0,1652.0,5076.0,2940.0,2136.0,2003.0,1252.0,289.0,2.0,400.0
1190,06037980017,Westwood,45250.0,36.0,1192.0,277.0,915.0,864.0,525.0,305.0,4.0,24.0
662,06037208302,Temple-Beaudry,45194.0,1875.0,4560.0,3064.0,1496.0,1409.0,374.0,494.0,4.0,510.0
661,06037208302,Historic Filipinotown,45194.0,1875.0,4560.0,3064.0,1496.0,1409.0,374.0,494.0,4.0,510.0
708,06037211802,Little Bangladesh,45120.0,2103.0,4893.0,1563.0,3330.0,3222.0,624.0,267.0,8.0,2294.0
723,06037212410,Koreatown,45114.0,1609.0,3560.0,1554.0,2006.0,1949.0,360.0,136.0,3.0,1434.0
276,06037128102,Van Nuys,45054.0,1547.0,4874.0,3235.0,1639.0,1568.0,997.0,253.0,2.0,273.0
614,06037203800,Boyle Heights,45000.0,1266.0,4502.0,4247.0,255.0,236.0,114.0,37.0,3.0,69.0
663,06037208401,Temple-Beaudry,44943.0,1523.0,3832.0,2749.0,1083.0,1051.0,129.0,72.0,14.0,819.0
725,06037212501,Koreatown,44797.0,960.0,1944.0,858.0,1086.0,1016.0,344.0,133.0,9.0,521.0
110,06037113239,Canoga Park,44698.0,878.0,2259.0,1259.0,1000.0,940.0,561.0,107.0,4.0,253.0
786,06037218900,West Adams,44652.0,2226.0,5329.0,2707.0,2622.0,2415.0,502.0,1653.0,8.0,204.0
41,06037104704,Pacoima,44647.0,1209.0,4760.0,3758.0,1002.0,962.0,281.0,407.0,2.0,239.0
961,06037240700,Green Meadows,44587.0,1673.0,6573.0,4783.0,1790.0,1700.0,56.0,1536.0,12.0,47.0
272,06037127806,Van Nuys,44565.0,1170.0,3505.0,2040.0,1465.0,1363.0,862.0,193.0,6.0,269.0
700,06037211310,Wilshire Center,44545.0,1362.0,3603.0,2476.0,1127.0,1059.0,260.0,98.0,6.0,678.0
342,06037134710,Winnetka,44397.0,1629.0,5183.0,3593.0,1590.0,1487.0,668.0,190.0,13.0,559.0
228,06037124204,North Hollywood,44383.0,809.0,2753.0,1616.0,1137.0,1038.0,744.0,137.0,6.0,119.0
1135,06037293205,Harbor Gateway,44369.0,905.0,3873.0,2290.0,1583.0,1483.0,291.0,380.0,11.0,758.0
198,06037123010,Sun Valley,44327.0,1025.0,4253.0,3610.0,643.0,615.0,394.0,86.0,8.0,99.0
841,06037227010,Central,44277.0,1106.0,4506.0,4023.0,483.0,455.0,74.0,354.0,6.0,14.0
800,06037221120,Pico-Union,44265.0,798.0,3030.0,2764.0,266.0,249.0,37.0,55.0,7.0,134.0
846,06037228310,Central,44115.0,1034.0,4491.0,4011.0,480.0,462.0,62.0,344.0,2.0,32.0
