OBJECTID,Geo_ID,Geo_Type,Geo_Name,Poor_health,Poor_health_LCL,Poor_health_UCL,Poor_health_RSE,Poor_health_EST,SHAPE_Length,SHAPE_Area
336,csa_unincorp_whittier_narrows,Unincorporated Los Angeles County,Unincorporated - Whittier Narrows,,,,,,73795.168919912,82963536.5871499
337,csa_unincorp_willowbrook,Unincorporated Los Angeles County,Unincorporated - Willowbrook,14.8,12,17.5,9.55371643523086,small area estimate,71626.6131256524,96155440.5033342
338,csa_unincorp_wiseburn,Unincorporated Los Angeles County,Unincorporated - Wiseburn,,,,,,18245.9906151407,12904383.1685887
339,csa_unincorp_walnut,Unincorporated Los Angeles County,Unincorporated - Walnut,,,,,,42294.5654374712,3848120.05920836
340,csa_unincorp_lennox,Unincorporated Los Angeles County,Unincorporated - Lennox,,,,,,33104.900896254,30553215.379441
341,csa_unincorp_westfield_academy_hills,Unincorporated Los Angeles County,Unincorporated - Westfield/Academy Hills,,,,,,17831.6302743356,-14592671.8954768
342,csa_unincorp_marina_del_rey,Unincorporated Los Angeles County,Unincorporated - Marina del Rey,,,,,,71324.3489531451,-24773351.7434983
343,csa_unincorp_la_rambla,Unincorporated Los Angeles County,Unincorporated - La Rambla,,,,,,14131.4411356203,5867160.38532912
344,csa_unincorp_palos_verdes_peninsula,Unincorporated Los Angeles County,Unincorporated - Palos Verdes Peninsula,,,,,,9338.43329730062,-4631360.39839118
345,csa_unincorp_san_clemente_island,Unincorporated Los Angeles County,Unincorporated - San Clemente Island,,,,,,389210.434449327,1573236841.36336
346,csa_unincorp_santa_catalina_island,Unincorporated Los Angeles County,Unincorporated - Santa Catalina Island,,,,,,415797.178012712,1999368372.11704
347,csa_unincorp_kinneloa_mesa,Unincorporated Los Angeles County,Unincorporated - Kinneloa Mesa,,,,,,56562.9065902039,46820480.911401
348,csa_unincorp_east_pasadena,Unincorporated Los Angeles County,Unincorporated - East Pasadena,,,,,,41021.8730825343,37146879.0528393
377,la_city,Incorporated City,City of Los Angeles,14.2,12.8,15.6,4.94240116193774,small area estimate,1801593.40585362,-13190494161.3763
